user,text
o*****a,"Kualitas Suara: suara jernih
Kenyamanan: bentuknya sangat nyaman di telinga
Desain: desain ekonomis, simple, dan gampang dibawa
Tws ini worth to buy karena dengan di harga segini dapat kualitas yang bagus suara jernih, suara bass oke, bentuk wadahnya gampang disimpan, lampu indikator daya baterai gampang dilihat"
,"Kualitas Suara: bagus!
Warna: LUCU BGT!
Desain: ukurannya pas, simpel lucu!
sumpah gak nyangka bass nya enak banget untuk harga segini! warnanya juga lucu. jadi couple sama warna hpkuu! YANG MAU BELI JANGAN RAGU! WORTH EVERY PENNY! baseus emang deehh!!!"
r*****2,"Kualitas Suara: jernih
Warna: hitam
Desain: simple
dari dulu udah pengen beli krna katanya temen bagus, eh baru skrg kebeli dan emg bagusss😭🙌🏻 ngebass dan jernih sekali. terus ga nyesel ambil warna hitam, it looks so simple dan warma hitam yang cantik gituloohh, pengirimannya juga cepett, ah best pokoknya baseus!!!😭💗"
c*****4,"Kualitas Suara: ok
Warna: ok
Desain: ok
Alhamdulillah paket sudah diterima dengan baik. Paket juga sesuai dgn yg saya pesan. 
Terimakasih seller yg amanah, semoga slalu menjaga kualitas dan kepercayaan pelanggan selalu ya. Terimaksih juga buat abang kurir yg ramah. Semoga berkah untuk kita semua dan diberikan kesehatan lahir dan juga batin aamiin.."
,"Kualitas Suara: jernih
Kenyamanan: sangat nyaman
Desain: keren
suka bgt sama desain dengan warna birunya😆, suara jernih, bassnya lumayan, dapet stiker lucu juga, baseus emang the best dah, makasih seller barang mendarat dengan baik😁"
,"Kualitas Suara: mantab bass nya
Desain: menggemaskan, lusyuuu
Kenyamanan: pas ditelinga. nyaman dipakai nya.
Ngga kecewa, sangat sesuai ekspektasi. Kawan aku langsung minta link nya, mau ikutan beli juga. Thanks seller."
,"Kualitas Suara: jernih
Warna: lucu
Desain: simpel
IMUT BANGET PINKYYYY I LOVE PINKKK (untung kedapetan yang pink hihii) SUARA JERNIHHH pokoknya bagus dehh!!!! sejauh ini belum ada masalah (semoga gadaaa huhu...) DAN SEMOGA AWEETTTT"
r*****s,"Kualitas Suara: oke
yg bikin beda sama design lama itu mungkin yg ini matte dan charging portnya ada di pinggir, dan agak lebih besar dikit ya, kalo buat kualitas suara oke oke aja even tho yg lama bass nya lebih oke sih kayanya"
,"Kualitas Suara: BASSNYA KERENN
Warna: BAGUS PUTIHNYA
Desain: COCOK BUAT KUPING BERMINYAK YG GA COCOK PKE GEL
PAS PERTAMA DATENG DAN LGSG NYOBA OMG ENAK BANGET!! real ini bukan buzzer hehe kyk wow dri sekian merk earbuds yg kucoba lebih enak ini sih jujur kyk aw suka sekali, mana ada stickernya jg makasi minn lovuuuu🫶🏻❤️"
h*****a,"Kualitas Suara: lumayan jernih
Warna: item doff cakeepp
Desain: lucuuu kaya cushion soalnya bukanya depan hahahaha
semoga ketahanan baterainya sesuai di deskripsi produkkk, semoga juga awet ga ilang satu 😭 asli sih ini cakep dan kece banget worth to buy lahhh"
p*****_,"Kualitas Suara: jernih
Warna: elegan
Desain: lucu
AAA lucu banget tolong mau nangis😩❤️. buat kalian yang masih ragu co, pliss gausa ragu! buruan co! se worth it itu! tengkyu min"
